fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2011-06-30,2011-07-21,0.69,0.58,0.11,18.9655
2011-03-31,2011-04-28,0.61,0.56,0.05,8.9286
2010-12-31,2011-01-27,0.77,0.68,0.09,13.2353
2010-09-30,2010-10-28,0.62,0.55,0.07,12.7273
2010-06-30,2010-07-22,0.51,0.46,0.05,10.8696
2010-03-31,2010-04-22,0.45,0.42,0.03,7.1429
2009-12-31,2010-01-28,0.74,0.59,0.15,25.4237
2009-09-30,2009-10-23,0.4,0.32,0.08,25
2009-06-30,2009-07-23,0.36,0.36,0,0
2009-03-31,2009-04-23,0.39,0.39,0,0
2008-12-31,2009-01-22,0.47,0.49,-0.02,-4.0816
2008-09-30,2008-10-23,0.48,0.47,0.01,2.1277
2008-06-30,2008-07-17,0.46,0.47,-0.01,-2.1277
2008-03-31,2008-04-24,0.47,0.44,0.03,6.8182
2007-12-31,2008-01-24,0.5,0.46,0.04,8.6957
2007-09-30,2007-10-25,0.45,0.39,0.06,15.3846
2007-06-30,2007-07-19,0.39,0.39,0,0
2007-03-31,2007-04-26,0.49,0.46,0.03,6.5217
2006-12-31,2007-01-25,0.26,0.23,0.03,13.0435
2006-09-30,2006-10-26,0.35,0.31,0.04,12.9032
2006-06-30,2006-07-20,0.31,0.3,0.01,3.3333
2006-03-31,2006-04-27,0.32,0.33,-0.01,-3.0303
2005-12-31,2006-01-26,0.33,0.33,0,0
2005-09-30,2005-10-27,0.31,0.3,0.01,3.3333
2005-06-30,2005-07-21,0.32,0.31,0.01,3.2258
2005-03-31,2005-04-28,0.32,0.32,0,0
2004-12-31,2005-01-27,0.35,0.33,0.02,6.0606
2004-09-30,2004-10-21,0.31,0.3,0.01,3.3333
2004-06-30,2004-07-22,0.28,0.29,-0.01,-3.4483
2004-03-31,2004-04-22,0.34,0.29,0.05,17.2414
2003-12-31,2004-01-22,0.34,0.3,0.04,13.3333
2003-09-30,2003-10-23,0.3,0.29,0.01,3.4483
2003-06-30,2003-07-17,0.23,0.24,-0.01,-4.1667
2003-03-31,2003-04-15,0.27,0.24,0.03,12.5
2002-12-31,2003-01-16,0.27,0.23,0.04,17.3913
2002-09-30,2002-10-17,0.28,0.21,0.07,33.3333
2002-06-30,2002-07-18,0.21,0.21,0,0
2002-03-31,2002-04-18,0.25,0.25,0,0
2001-12-31,2002-01-17,0.25,0.21,0.04,19.0476
2001-09-30,2001-10-18,0.22,0.2,0.02,10
2001-06-30,2001-07-19,0.22,0.21,0.01,4.7619
2001-03-31,2001-04-19,0.22,0.21,0.01,4.7619
2000-12-31,2001-01-18,0.24,0.23,0.01,4.3478
2000-09-30,2000-10-18,0.23,0.21,0.02,9.5238
2000-06-30,2000-07-18,0.22,0.21,0.01,4.7619
2000-03-31,2000-04-20,0.22,0.2,0.02,10
1999-12-31,2000-01-18,0.24,0.21,0.03,14.2857
1999-09-30,1999-10-19,0.19,0.17,0.02,11.7647
1999-06-30,1999-07-19,0.2,0.18,0.02,11.1111
1999-03-31,1999-04-20,0.19,0.16,0.03,18.75
1998-12-31,1999-01-19,0.18,0.15,0.03,20
1998-09-30,1998-10-20,0.14,0.12,0.02,16.6667
1998-06-30,1998-07-16,0.13,0.12,0.01,8.3333
1998-03-31,1998-04-22,0.13,0.12,0.01,8.3333
1997-12-31,1998-01-21,0.11,0.1,0.01,10
1997-09-30,1997-10-20,0.09,0.09,0,0
1997-06-30,1997-07-17,0.1,0.1,0,0
1997-03-31,1997-04-17,0.1,0.08,0.02,25
1996-12-31,1997-01-17,0.07,0.06,0.01,16.6667
1996-09-30,1996-10-21,0.06,0.06,0,0
1996-06-30,1996-07-22,0.05,0.05,0,0
1996-03-31,1996-04-18,0.06,0.05,0.01,20
