date,open,high,low,close,volume,tic,day,macd,macds,macdh,rsv_9,kdjk_9,kdjk,kdjd_9,kdjd,kdjj_9,kdjj,rs_14,rsi_14,rsi,close_50_sma,ma50,close_200_sma,ma200,vix,TLT,IEF,SHY
2018-05-01,50.683,51.924,50.41,51.866,28558000,GOOG,1,0.0,0.0,0.0,96.167,65.389,65.389,55.13,55.13,85.907,85.907,,,,51.866,51.866,51.866,51.866,15.49,118.41,101.35,83.13
2018-05-02,51.405,52.019,51.144,51.219,32062000,GOOG,2,-0.015,-0.008,-0.006,50.25,60.343,60.343,56.867,56.867,67.293,67.293,0.0,0.0,0.0,51.542,51.542,51.542,51.542,15.97,118.28,101.37,83.16
2018-05-03,50.95,51.484,50.314,51.186,36302000,GOOG,3,-0.02,-0.013,-0.007,51.116,57.267,57.267,57.001,57.001,57.8,57.8,0.0,0.0,0.0,51.424,51.424,51.424,51.424,15.9,118.81,101.63,83.22
2018-05-04,50.845,52.425,50.845,52.41,38774000,GOOG,4,0.023,-0.001,0.024,99.289,71.275,71.275,61.759,61.759,90.307,90.307,2.082,67.555,67.555,51.67,51.67,51.67,51.67,14.77,118.99,101.64,83.19
2018-05-07,52.461,53.084,52.355,52.739,29322000,GOOG,0,0.059,0.017,0.042,87.561,76.703,76.703,66.74,66.74,96.63,96.63,2.685,72.86,72.86,51.884,51.884,51.884,51.884,14.75,118.8,101.59,83.19
2018-05-08,52.927,53.028,52.357,52.695,24354000,GOOG,1,0.077,0.033,0.044,85.972,79.793,79.793,71.091,71.091,97.197,97.197,2.47,71.184,71.184,52.019,52.019,52.019,52.019,14.71,118.69,101.42,83.2
2018-05-09,52.905,54.272,52.818,54.138,40656000,GOOG,2,0.153,0.064,0.089,96.614,85.4,85.4,75.861,75.861,104.479,104.479,5.289,84.1,84.1,52.322,52.322,52.322,52.322,13.42,117.98,101.19,83.16
2018-05-10,54.301,55.022,54.282,54.879,28860000,GOOG,3,0.236,0.105,0.131,96.952,89.251,89.251,80.324,80.324,107.104,107.104,6.848,87.257,87.257,52.642,52.642,52.642,52.642,13.23,118.93,101.4,83.16
2018-05-11,54.68,55.067,54.546,54.913,25074000,GOOG,4,0.293,0.148,0.144,96.77,91.757,91.757,84.135,84.135,107.001,107.001,6.926,87.383,87.383,52.894,52.894,52.894,52.894,12.65,119.23,101.41,83.16
2018-05-14,55.0,55.537,54.956,55.01,30362000,GOOG,0,0.333,0.19,0.143,89.9,91.138,91.138,86.469,86.469,100.476,100.476,7.163,87.749,87.749,53.106,53.106,53.106,53.106,12.93,118.6,101.19,83.16
2018-05-15,54.5,54.502,53.674,53.961,29898000,GOOG,1,0.302,0.214,0.087,69.826,84.034,84.034,85.658,85.658,80.787,80.787,1.907,65.6,65.6,53.183,53.183,53.183,53.183,14.63,117.25,100.63,83.11
2018-05-16,53.866,54.464,53.813,54.089,21946000,GOOG,2,0.282,0.229,0.053,69.121,79.063,79.063,83.459,83.459,70.27,70.27,2.003,66.697,66.697,53.259,53.259,53.259,53.259,13.42,116.8,100.42,83.11
2018-05-17,53.994,54.343,53.675,53.93,20876000,GOOG,3,0.254,0.234,0.02,49.474,69.2,69.2,78.706,78.706,50.187,50.187,1.774,63.948,63.948,53.31,53.31,53.31,53.31,13.43,116.21,100.36,83.13
2018-05-18,53.093,53.497,53.034,53.318,31304000,GOOG,4,0.195,0.226,-0.031,30.21,56.203,56.203,71.205,71.205,26.199,26.199,1.204,54.625,54.625,53.311,53.311,53.311,53.311,13.42,117.21,100.75,83.17
2018-05-21,53.703,54.4,53.682,53.979,20464000,GOOG,0,0.187,0.218,-0.031,42.686,51.698,51.698,64.703,64.703,25.688,25.688,1.578,61.209,61.209,53.355,53.355,53.355,53.355,13.08,117.27,100.82,83.17
2018-05-22,54.178,54.329,53.334,53.486,21800000,GOOG,1,0.148,0.203,-0.055,18.075,40.49,40.49,56.632,56.632,8.206,8.206,1.214,54.826,54.826,53.364,53.364,53.364,53.364,13.22,117.09,100.78,83.17
2018-05-23,53.257,54.039,53.085,53.985,21214000,GOOG,2,0.148,0.192,-0.044,37.967,39.649,39.649,50.971,50.971,17.005,17.005,1.465,59.433,59.433,53.4,53.4,53.4,53.4,12.58,117.94,101.24,83.24
2018-05-24,53.95,54.023,53.307,53.962,15336000,GOOG,3,0.145,0.182,-0.038,37.068,38.789,38.789,46.91,46.91,22.546,22.546,1.447,59.139,59.139,53.431,53.431,53.431,53.431,12.53,118.88,101.5,83.29
2018-05-25,53.951,54.128,53.689,53.783,17988000,GOOG,4,0.129,0.172,-0.043,51.005,42.861,42.861,45.56,45.56,37.461,37.461,1.312,56.739,56.739,53.45,53.45,53.45,53.45,13.22,119.62,101.9,83.36
2018-05-29,53.244,53.668,52.761,53.016,37302000,GOOG,1,0.065,0.15,-0.085,14.978,33.566,33.566,41.562,41.562,17.574,17.574,0.915,47.79,47.79,53.428,53.428,53.428,53.428,17.02,122.24,103.0,83.6
