fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2023-03-31,2023-05-04,1.52,1.43,0.09,6.2937
2022-12-31,2023-02-02,1.88,1.94,-0.06,-3.0928
2022-09-30,2022-10-27,1.29,1.27,0.02,1.5748
2022-06-30,2022-07-28,1.2,1.16,0.04,3.4483
2022-03-31,2022-04-28,1.52,1.43,0.09,6.2937
2021-12-31,2022-01-27,2.1,1.89,0.21,11.1111
2021-09-30,2021-10-28,1.24,1.24,0,0
2021-06-30,2021-07-27,1.3,1.01,0.29,28.7129
2021-03-31,2021-04-28,1.4,0.99,0.41,41.4141
2020-12-31,2021-01-27,1.68,1.41,0.27,19.1489
2020-09-30,2020-10-29,0.73,0.7,0.03,4.2857
2020-06-30,2020-07-30,0.65,0.51,0.14,27.451
2020-03-31,2020-04-30,0.64,0.56,0.08,14.2857
2019-12-31,2020-01-28,1.25,1.14,0.11,9.6491
2019-09-30,2019-10-30,0.76,0.71,0.05,7.0423
2019-06-30,2019-07-30,0.55,0.53,0.02,3.7736
2019-03-31,2019-04-30,0.62,0.59,0.03,5.0847
2018-12-31,2019-01-29,1.05,1.04,0.01,0.9615
2018-09-30,2018-11-01,0.73,0.7,0.03,4.2857
2018-06-30,2018-07-31,0.585,0.545,0.04,7.3394
2018-03-31,2018-05-01,0.6825,0.6725,0.01,1.487
2017-12-31,2018-02-01,0.9725,0.965,0.0075,0.7772
2017-09-30,2017-11-02,0.5175,0.4675,0.05,10.6952
2017-06-30,2017-08-01,0.4175,0.3925,0.025,6.3694
2017-03-31,2017-05-02,0.525,0.505,0.02,3.9604
2016-12-31,2017-01-31,0.84,0.8025,0.0375,4.6729
2016-09-30,2016-10-25,0.4175,0.415,0.0025,0.6024
2016-06-30,2016-07-26,0.355,0.345,0.01,2.8986
2016-03-31,2016-04-26,0.475,0.5,-0.025,-5
2015-12-31,2016-01-26,0.82,0.8075,0.0125,1.548
2015-09-30,2015-10-27,0.49,0.47,0.02,4.2553
2015-06-30,2015-07-21,0.4625,0.4525,0.01,2.2099
2015-03-31,2015-04-27,0.5825,0.54,0.0425,7.8704
2014-12-31,2015-01-27,0.765,0.65,0.115,17.6923
2014-09-30,2014-10-20,0.355,0.3275,0.0275,8.3969
2014-06-30,2014-07-22,0.32,0.3075,0.0125,4.065
